UTM_X,UTM_Y,elevation
618485.5815278172,4197502.3967637429,681.196960449219
618486.8651284052,4197413.6302839098,673.25439453125
618488.1487058196,4197324.8638155060,670.58642578125
618489.4322600602,4197236.0973585332,673.312622070312
618490.7157911266,4197147.3309129886,679.969543457031
618491.9992990186,4197058.5644788742,680.192993164062
618493.2827837360,4196969.7980561899,689.768432617188
618494.5662452786,4196881.0316449339,690.467041015625
618495.8496836460,4196792.2652451061,681.7177734375
618497.1330988378,4196703.4988567093,683.019714355469
618498.4164908542,4196614.7324797399,692.886596679688
618499.6998596948,4196525.9661142007,711.894775390625
618500.9832053594,4196437.1997600896,750.646911621094
618502.2665278474,4196348.4334174078,763.812255859375
618503.5498271590,4196259.6670861542,778.850463867188
618504.8331032938,4196170.9007663298,778.564270019531
618506.1163562514,4196082.1344579328,770.868347167969
618507.3995860318,4195993.3681609640,772.370239257812
618508.6827926346,4195904.6018754253,771.708312988281
618509.9659760596,4195815.8356013130,778.410827636719
618511.2491363066,4195727.0693386300,778.312683105469
618512.5322733752,4195638.3030873751,758.42724609375
618513.8153872654,4195549.5368475486,730.234252929688
618515.0984779770,4195460.7706191484,702.227905273438
618516.3815455092,4195372.0044021774,676.721557617188
618517.6645898625,4195283.2381966338,664.249328613281
618518.9476110360,4195194.4720025174,654.351440429688
618520.2306090300,4195105.7058198284,651.384765625
618521.5135838439,4195016.9396485686,646.200622558594
618522.7965354776,4194928.1734887343,642.93212890625
618524.0794639308,4194839.4073403282,640.538146972656
618525.3623692034,4194750.6412033485,643.488403320312
618526.6452512952,4194661.8750777962,643.941040039062
618553.3341576016,4197680.9469604297,715.844665527344
618554.6185667363,4197592.1804505317,695.332885742188
618555.9029526842,4197503.4139520610,686.221618652344
618557.1873154450,4197414.6474650213,673.89599609375
618558.4716550184,4197325.8809894081,664.682922363281
618559.7559714040,4197237.1145252250,664.887512207031
618561.0402646018,4197148.3480724711,671.920593261719
618562.3245346114,4197059.5816311445,673.963439941406
618563.6087814326,4196970.8152012471,676.712463378906
618564.8930050654,4196882.0487827780,672.984436035156
618566.1772055090,4196793.2823757371,676.788940429688
618567.4613827638,4196704.5159801263,690.808898925781
618568.7455368290,4196615.7495959410,702.360229492188
618570.0296677046,4196526.9832231859,738.104064941406
618571.3137753906,4196438.2168618590,760.811279296875
618572.5978598862,4196349.4505119585,777.797241210938
618573.8819211918,4196260.6841734862,779.698364257812
618575.1659593066,4196171.9178464422,767.931213378906
618576.4499742306,4196083.1515308255,764.061828613281
618577.7339659636,4195994.3852266362,762.946594238281
618579.0179345052,4195905.6189338760,760.946716308594
618580.3018798556,4195816.8526525414,786.859680175781
618581.5858020138,4195728.0863826340,801.922729492188
618582.8697009803,4195639.3201241549,768.333312988281
618584.1535767541,4195550.5538771031,740.613952636719
618585.4374293358,4195461.7876414778,701.266723632812
618586.7212587246,4195373.0214172807,679.139953613281
618588.0050649204,4195284.2552045099,661.849060058594
618589.2888479228,4195195.4890031656,653.719604492188
618590.5726077320,4195106.7228132477,645.789428710938
618591.8563443472,4195017.9566347571,642.793640136719
618593.1400577684,4194929.1904676948,637.966491699219
618594.4237479956,4194840.4243120551,636.008544921875
618595.7074150282,4194751.6581678446,637.43212890625
618596.9910588661,4194662.8920350606,637.377624511719
618623.6540637926,4197681.9647669764,712.543762207031
618624.9392351282,4197593.1982498672,696.711486816406
618626.2243832632,4197504.4317441843,686.909118652344
618627.5095081972,4197415.6652499316,677.095825195312
618628.7946099302,4197326.8987671053,662.876953125
618630.0796884616,4197238.1322957091,659.540588378906
618631.3647437914,4197149.3658357384,664.119812011719
618632.6497759194,4197060.5993871978,664.19970703125
618633.9347848452,4196971.8329500826,666.98828125
618635.2197705688,4196883.0665243976,670.337768554688
618636.5047330896,4196794.3001101390,683.130920410156
618637.7896724074,4196705.5337073077,704.354248046875
618639.0745885224,4196616.7673159046,727.135070800781
618640.3594814340,4196528.0009359280,753.516967773438
618641.6443511418,4196439.2345673796,775.167114257812
618642.9291976457,4196350.4682102576,780.99755859375
618644.2140209458,4196261.7018645629,779.745849609375
618645.4988210415,4196172.9355302947,765.955993652344
618646.7835979328,4196084.1692074537,752.378234863281
618648.0683516189,4195995.4028960383,750.162963867188
618649.3530821004,4195906.6365960529,759.73876953125
618650.6377893762,4195817.8703074912,793.086669921875
618651.9224734468,4195729.1040303567,817.599792480469
618653.2071343114,4195640.3377646497,795.508666992188
618654.4917719699,4195551.5715103680,741.059448242188
618655.7763864225,4195462.8052675128,709.18115234375
618657.0609776682,4195374.0390360858,675.457763671875
618658.3455457072,4195285.2728160834,663.152587890625
618659.6300905393,4195196.5066075074,651.525939941406
618660.9146121643,4195107.7404103559,643.562133789062
618662.1991105817,4195018.9742246317,638.178771972656
618663.4835857912,4194930.2080503339,635.323669433594
618664.7680377928,4194841.4418874606,631.542846679688
618666.0524665862,4194752.6757360119,630.691284179688
618667.3368721711,4194663.9095959915,629.806884765625
618693.9739756974,4197682.9831773350,714.026489257812
618695.2599092346,4197594.2166530099,695.746459960938
618696.5458195574,4197505.4501401121,688.871887207031
618697.8317066652,4197416.6836386425,678.132507324219
618699.1175705584,4197327.9171485994,665.857604980469
618700.4034112366,4197239.1506699845,656.329345703125
618701.6892286992,4197150.3842027951,656.05908203125
618702.9750229460,4197061.6177470339,661.283508300781
618704.2607939772,4196972.8513026992,667.183471679688
618705.5465417920,4196884.0848697918,681.04638671875
618706.8322663908,4196795.3184483107,699.72021484375
618708.1179677726,4196706.5520382570,728.426391601562
618709.4036459378,4196617.7856396297,759.325622558594
618710.6893008858,4196529.0192524288,777.34765625
618711.9749326166,4196440.2528766543,785.489990234375
618713.2605411296,4196351.4865123061,780.610961914062
618714.5461264250,4196262.7201593835,780.930908203125
618715.8316885020,4196173.9538178882,768.288757324219
618717.1172273610,4196085.1874878192,745.827575683594
618718.4027430012,4195996.4211691739,738.638854980469
618719.6882354228,4195907.6548619578,752.971496582031
618720.9737046254,4195818.8885661652,787.270812988281
618722.2591506084,4195730.1222817991,820.716186523438
618723.5445733722,4195641.3560088584,806.792663574219
618724.8299729160,4195552.5897473451,763.207153320312
618726.1153492400,4195463.8234972553,726.98388671875
618727.4007023434,4195375.0572585929,682.660400390625
618728.6860322265,4195286.2910313541,666.672912597656
618729.9713388890,4195197.5248155408,651.94189453125
618731.2566223304,4195108.7586111529,641.930297851562
618732.5418825503,4195019.9924181905,636.022033691406
618733.8271195490,4194931.2262366535,632.805480957031
618735.1123333260,4194842.4600665402,629.466552734375
618736.3975238808,4194753.6939078523,626.299011230469
618737.6826912136,4194664.9277605889,625.333618164062
618764.2938933194,4197684.0021915073,717.925720214844
618765.5805890586,4197595.2356599644,698.189453125
618766.8672615698,4197506.4691398451,690.544067382812
618768.1539108526,4197417.7026311550,680.768127441406
618769.4405369066,4197328.9361338904,670.3359375
618770.7271397320,4197240.1696480513,654.433532714844
618772.0137193280,4197151.4031736394,651.23583984375
618773.3002756946,4197062.6367106531,655.165954589844
618774.5868088318,4196973.8702590941,669.406677246094
618775.8733187388,4196885.1038189624,695.402770996094
618777.1598054160,4196796.3373902533,714.353332519531
618778.4462688626,4196707.5709729725,750.916381835938
618779.7327090786,4196618.8045671163,792.902465820312
618781.0191260638,4196530.0381726865,805.662658691406
618782.3055198180,4196441.2717896830,796.344482421875
618783.5918903408,4196352.5054181041,775.527221679688
618784.8782376322,4196263.7390579507,772.279418945312
618786.1645616916,4196174.9727092227,763.274963378906
618787.4508625187,4196086.2063719193,742.784973144531
618788.7371401138,4195997.4400460422,730.000061035156
618790.0233944764,4195908.6737315916,737.059692382812
618791.3096256062,4195819.9074285636,777.315551757812
618792.5958335028,4195731.1411369611,788.630004882812
618793.8820181660,4195642.3748567849,787.437072753906
618795.1681795958,4195553.6085880334,766.733947753906
618796.4543177920,4195464.8423307035,730.478332519531
618797.7404327540,4195376.0760848029,695.716064453125
618799.0265244818,4195287.3098503239,664.263916015625
618800.3125929750,4195198.5436272705,649.511657714844
618801.5986382336,4195109.7774156397,636.378051757812
618802.8846602571,4195021.0112154353,633.618957519531
618804.1706590456,4194932.2450266546,629.205444335938
618805.4566345984,4194843.4788492974,627.518005371094
618806.7425869154,4194754.7126833647,622.934814453125
618808.0285159966,4194665.9465288566,621.582641601562
618834.6138166620,4197685.0218094941,714.560485839844
618835.9012746040,4197596.2552707270,701.851257324219
618837.1887093044,4197507.4887433844,688.249084472656
618838.4761207624,4197418.7222274691,681.927795410156
618839.7635089782,4197329.9557229774,669.085205078125
618841.0508739514,4197241.1892299112,656.251831054688
618842.3382156816,4197152.4227482723,648.296936035156
618843.6255341686,4197063.6562780580,652.2314453125
