x,y,z,lat,lon,elevation
620564.9837585991,4194757.799346468,700.0,37.892354608780145,-1.628815121531739,666.5503
620594.751344177,4194757.799346468,700.0,37.89235066513872,-1.6284766641624666,675.22534
620624.518929755,4194757.799346468,700.0,37.89234672052452,-1.6281382068592223,676.3995
620654.286515333,4194757.799346468,700.0,37.89234277493754,-1.6277997496220318,674.00085
620684.0541009109,4194757.799346468,700.0,37.89233882837778,-1.627461292450946,667.63513
620713.8216864888,4194757.799346468,700.0,37.892334880845254,-1.6271228353459648,655.4108
620743.5892720667,4194757.799346468,700.0,37.89233093233994,-1.6267843783070883,635.19147
620773.3568576446,4194757.799346468,700.0,37.892326982861846,-1.6264459213343418,626.64874
620803.1244432225,4194757.799346468,700.0,37.892323032410985,-1.6261074644277511,620.4556
620832.8920288004,4194757.799346468,700.0,37.89231908098734,-1.6257690075873157,616.4374
620862.6596143784,4194757.799346468,700.0,37.89231512859092,-1.6254305508130613,612.22064
620892.4271999563,4194757.799346468,700.0,37.89231117522174,-1.6250920941050133,608.7479
620922.1947855343,4194757.799346468,700.0,37.89230722087978,-1.624753637463172,602.32605
620951.9623711122,4194757.799346468,700.0,37.89230326556505,-1.6244151808875622,598.5428
620981.7299566901,4194757.799346468,700.0,37.89229930927753,-1.6240767243781844,594.8193
621011.497542268,4194757.799346468,700.0,37.89229535201726,-1.6237382679350894,590.07336
621041.2651278459,4194757.799346468,700.0,37.892291393784205,-1.6233998115582517,585.9991
621071.0327134238,4194757.799346468,700.0,37.892287434578385,-1.6230613552477222,580.96405
621100.8002990017,4194757.799346468,700.0,37.892283474399804,-1.622722899003501,579.8094
621130.5678845797,4194757.799346468,700.0,37.89227951324844,-1.6223844428256133,578.97266
621160.3354701576,4194757.799346468,700.0,37.892275551124314,-1.6220459867140593,578.98724
621190.1030557356,4194757.799346468,700.0,37.89227158802741,-1.6217075306688644,578.03876
621219.8706413135,4194757.799346468,700.0,37.89226762395775,-1.621369074690054,577.47504
621249.6382268914,4194757.799346468,700.0,37.89226365891532,-1.6210306187776282,576.9605
621279.4058124693,4194757.799346468,700.0,37.89225969290012,-1.6206921629316124,576.8456
