,UTM_X,UTM_Y,latitude,longitude,elevation
95,618283.0,4196148.225,37.90518255250679,-1.6545333769045178,785.49347
96,618283.0,4196162.88,37.90531460217864,-1.6545309721047052,782.40234
97,618283.0,4196177.535,37.90544665184739,-1.654528567289168,779.5315
98,618283.0,4196192.19,37.905578701513036,-1.6545261624579317,779.5315
99,618283.0,4196206.845,37.905710751175576,-1.6545237576109706,775.41595
100,618283.0,4196221.5,37.905842800835025,-1.6545213527483102,775.41595
101,618283.0,4196236.155,37.90597485049137,-1.6545189478699254,769.82886
102,618283.0,4196250.81,37.90610690014462,-1.654516542975841,769.82886
103,618283.0,4196265.465,37.90623894979477,-1.6545141380660322,763.9433
104,618283.0,4196280.12,37.90637099944182,-1.6545117331405241,755.70135
105,618283.0,4196294.775,37.906503049085764,-1.6545093281992915,755.70135
106,618283.0,4196309.43,37.90663509872661,-1.654506923242334,748.69275
107,618283.0,4196324.085,37.90676714836436,-1.6545045182696774,748.69275
108,618283.0,4196338.74,37.906899197998996,-1.6545021132812963,743.37146
109,618283.0,4196353.395,37.90703124763055,-1.6544997082772157,743.37146
110,618283.0,4196368.05,37.90716329725898,-1.6544973032574106,738.80084
111,618283.0,4196382.705,37.90729534688433,-1.6544948982218808,738.48615
112,618283.0,4196397.36,37.90742739650658,-1.6544924931706517,738.48615
113,618283.0,4196412.015,37.90755944612572,-1.654490088103698,739.93225
114,618283.0,4196426.67,37.907691495741766,-1.654487683021045,739.93225
115,618283.0,4196441.325,37.90782354535471,-1.6544852779226675,740.98346
116,618283.0,4196455.98,37.90795559496456,-1.6544828728085652,740.98346
117,618283.0,4196470.635,37.908087644571296,-1.6544804676787639,741.2599
118,618283.0,4196485.29,37.90821969417494,-1.6544780625332376,740.5066
119,618283.0,4196499.945,37.908351743775484,-1.654475657371987,740.5066
120,618283.0,4196514.6,37.90848379337294,-1.654473252195037,735.8602
121,618283.0,4196529.255,37.90861584296728,-1.6544708470023621,733.427
122,618283.0,4196543.91,37.90874789255853,-1.6544684417939883,726.6639
123,618283.0,4196558.565,37.90887994214667,-1.6544660365698898,719.5452
124,618283.0,4196573.22,37.90901199173171,-1.6544636313300667,719.5452
125,618283.0,4196587.875,37.90914404131364,-1.6544612260745442,713.6688
126,618283.0,4196602.53,37.90927609089249,-1.654458820803297,713.6688
127,618283.0,4196617.185,37.90940814046822,-1.6544564155163253,710.7398
128,618283.0,4196631.84,37.909540190040865,-1.654454010213629,710.7398
129,618283.0,4196646.495,37.9096722396104,-1.6544516048952334,710.75037
130,618283.0,4196661.15,37.90980428917685,-1.654449199561113,712.21515
131,618283.0,4196675.805,37.90993633874019,-1.6544467942112935,712.21515
132,618283.0,4196690.46,37.91006838830043,-1.6544443888457494,714.8979
133,618283.0,4196705.115,37.910200437857576,-1.6544419834644806,708.0644
134,618283.0,4196719.77,37.910332487411615,-1.654439578067487,710.28906
135,618283.0,4196734.425,37.91046453696255,-1.6544371726547942,710.28906
136,618283.0,4196749.08,37.910596586510394,-1.6544347672263768,712.86774
137,618283.0,4196763.735,37.910728636055126,-1.6544323617822603,715.58466
138,618283.0,4196778.39,37.91086068559678,-1.6544299563223936,715.58466
139,618283.0,4196793.045,37.9109927351353,-1.6544275508468278,718.47644
140,618283.0,4196807.7,37.91112478467075,-1.6544251453555372,718.47644
141,618283.0,4196822.355,37.91125683420309,-1.6544227398485474,721.5227
142,618283.0,4196837.01,37.911388883732315,-1.6544203343258328,721.5227
143,618283.0,4196851.665,37.91152093325846,-1.6544179287873684,724.4708
144,618283.0,4196866.32,37.9116529827815,-1.65441552323323,723.8612
145,618283.0,4196880.975,37.91178503230143,-1.6544131176633414,723.8612
146,618283.0,4196895.63,37.91191708181827,-1.6544107120777538,725.7203
147,618283.0,4196910.285,37.912049131332004,-1.6544083064764414,725.7203
148,618283.0,4196924.94,37.91218118084265,-1.6544059008594045,726.49426
149,618283.0,4196939.595,37.912313230350165,-1.6544034952266684,726.2891
150,618283.0,4196954.25,37.91244527985461,-1.654401089578182,726.2891
151,618283.0,4196968.905,37.912577329355955,-1.6543986839139964,725.34
152,618283.0,4196983.56,37.91270937885418,-1.6543962782340862,725.34
153,618283.0,4196998.215,37.91284142834931,-1.6543938725384768,723.8168
154,618283.0,4197012.87,37.912973477841355,-1.6543914668271174,723.8168
155,618283.0,4197027.525,37.91310552733029,-1.6543890611000587,723.13416
